setting	type	environment_override	allowed_values	applicability	description
aliases.safe	boolean	MANTLE_ENABLE_SAFE_ALIASES	true,false	interactive	Portable navigation, listing, search, time, and shell helpers.
aliases.network	boolean	MANTLE_ENABLE_NETWORK_ALIASES	true,false	interactive	Local and public network inspection helpers.
aliases.system	boolean	MANTLE_ENABLE_SYSTEM_ALIASES	true,false	interactive	Privileged or operating-system mutation helpers.
aliases.legacy	boolean	MANTLE_ENABLE_LEGACY_ALIASES	true,false	interactive	Historical aliases, application wrappers, and name collisions.
aliases.safety	boolean	MANTLE_ENABLE_SAFETY_ALIASES	true,false	interactive	Prompting wrappers that replace cp, mv, and rm behavior.
history	boolean	MANTLE_ENABLE_HISTORY	true,false	interactive	Mantle-owned interactive history policy.
updates.suppress_checks	boolean	MANTLE_DISABLE_AUTOMATIC_UPDATE_CHECKS	true,false	all	Suppress supported automatic update checks.
experimental	boolean	MANTLE_ENABLE_EXPERIMENTAL	true,false	all	Load explicitly experimental Mantle behavior.
presentation	enum	MANTLE_PRESENTATION_MODE	private,share-safe,ci,off	tty	Presentation privacy and rendering mode.
